,block_number,log_index,transaction_hash,to_address,from_address,token_address,value
24,15189028,87,0x590abe8efc57d0ec74346d15a0945068ce86bfb622a73b0b0ef82e0951a33a06,0x72a19342e8f1838460ebfccef09f6585e32db86e,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,-246604502134845000000
25,15192820,265,0x8ba510908bcb1c270250ca6d2ec656cf8a6e4dfdb57dce1f7cb4987d652672d7,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x3349217670f9aa55c5640a2b3d806654d27d0569,0x68cfb82eacb9f198d508b514d898a403c449533e,39102193731354499219456
26,15192820,261,0x8ba510908bcb1c270250ca6d2ec656cf8a6e4dfdb57dce1f7cb4987d652672d7,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-1000000000
27,15209185,374,0x8544afeaa6738823a62203b2b72dafd9d637e28fb5bf345a6de6accac1cc30ba,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-300000000
28,15216602,80,0xfe6c1c9289934c6dcbf04f82f8204387cfb5b359a00c017833048a4148f0065a,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x3349217670f9aa55c5640a2b3d806654d27d0569,0x68cfb82eacb9f198d508b514d898a403c449533e,14209703438915999891456
29,15216602,76,0xfe6c1c9289934c6dcbf04f82f8204387cfb5b359a00c017833048a4148f0065a,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-200000000
30,15244736,20,0x289504e1a925799b611ec9fc2ed597647be29b43e2fbd5a3591a93c1d524b0b4,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x18abf6f0a12ac840d5a24f6a69367290a44871fc,0x70e8de73ce538da2beed35d14187f6959a8eca96,8710000
31,15279865,60,0xaa57ec381b2a09c6001c6065f469daeba8697b4999e2d4641acefc292728853b,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x6279653c28f138c8b31b8a0f6f8cd2c58e8c1705,0x70e8de73ce538da2beed35d14187f6959a8eca96,137343951
32,15279865,61,0xaa57ec381b2a09c6001c6065f469daeba8697b4999e2d4641acefc292728853b,0x6279653c28f138c8b31b8a0f6f8cd2c58e8c1705,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-100000000
33,15286535,317,0xce51301d53dcf3d3b40d61fd36c5b9e36e4a9886c7395f0bce7d3eaa5775b690,0x7075ac0672ad7eeabc27a7a36f0244ac6db418a4,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x70e8de73ce538da2beed35d14187f6959a8eca96,-146053951
34,15286563,55,0xb27ce1b57518b51132493033574309cac64fec27c23cd30c0b7f97fd3d00f0cb,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x61eb53ee427ab4e007d78a9134aacb3101a2dc23,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,13406568305841600000
35,15286563,49,0xb27ce1b57518b51132493033574309cac64fec27c23cd30c0b7f97fd3d00f0cb,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-100000000
36,15382289,6937,0x0500268a4b6fb6f413e25abf1beb60c2bc65ba96a0513950a61694365c3fd7fc,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x9d551f41fed6fc27b719777c224dfecce170004d,0xc83cd7912d530e8fb8e18c1c915d4776739c9b89,1661000000000000000000
37,15400772,801,0x127c521055b7de841fa2064beaba827bb0f2d5fe27de77499ad59cf63f08551a,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x9d551f41fed6fc27b719777c224dfecce170004d,0xa08891636ba65305420faa600fdcca2476bb4613,1590000000000000000000
38,15407429,4622,0x3dd4f40fbf6b418a41c2cf33de183e20fa2957c0124014db22f40bcda1a24479,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xdf5faa56443098af17baffc510da8dee34b0e75c,0x8bfd593a85dc1165bb9d6842333bcd2da665fb39,209694000000000004718592
